SensorID,Latitude,Longitude
63903,50.678,13.938
69233,49.69683075008,13.25687491897
63902,50.678,13.938
66528,50.07765353788,14.44490468482
69234,49.69683075008,13.25687491897
77171,50.02,14.422
77170,50.02,14.422
75895,50.328,15.014
75894,50.328,15.014
76594,50.24,14.302
76593,50.24,14.302
78717,50.042,14.432
78716,50.042,14.432
71652,49.59528500000,17.99971880000
75425,50.632,13.7
77799,50.426,15.352
75426,50.632,13.7
81057,50.084,14.468
77798,50.426,15.352
75788,50.024,14.492
81056,50.084,14.468
75787,50.024,14.492
75945,50.104,14.614
75946,50.104,14.614
82245,50.096,14.458
82244,50.096,14.458
66693,50.03070230000,14.51126170000
66692,50.03070230000,14.51126170000
63171,50.18095868383,14.65001374483
71889,49.998,14.858
71888,49.998,14.858
53916,49.652,18.77
53915,49.652,18.77
82022,49.908,18.356
74466,50.044,15.938
75916,50.148,14.334
65731,49.49413010451,14.67903998493
65730,49.49413010451,14.67903998493
74465,50.044,15.938
75959,50.77337901902,15.07538366308
75958,50.77337901902,15.07538366308
73633,50.08,14.418
73632,50.08,14.418
80941,49.53882848133,18.30192446709
80939,49.53882848133,18.30192446709
77008,49.23971274259,13.51312994957
77009,49.23971274259,13.51312994957
74301,49.78359160000,13.28629190000
79230,49.122,17.544
79229,49.122,17.544
78890,48.964,14.502
78889,48.964,14.502
65470,50.71,14.492
76178,49.19111570000,16.60357170000
47080,49.296,14.47
70027,50.092,15.804
70026,50.092,15.804
47079,49.296,14.47
80645,49.71480000000,16.26463130000
71651,49.59794390000,18.00278840000
71650,49.59794390000,18.00278840000
79640,49.904,14.39
77383,50.18528778753,15.01785725355
77382,50.18528778753,15.01785725355
77406,49.22874549259,16.87556058168
70103,50.034,15.256
70102,50.034,15.256
82263,49.50231503731,17.70396888256
76476,50.078,14.854
65276,49.994,14.052
76475,50.078,14.854
65275,49.994,14.052
75717,50.138,14.332
75716,50.138,14.332
75657,49.892,17.884
74224,49.706,18.216
47636,50.766,15.338
70358,50.05816560000,14.42501740000
65592,49.20005590330,16.63993871209
77096,50.42740385045,14.24833238046
3447,49.5,17.736
74223,49.706,18.216
47635,50.766,15.338
60872,50.118,14.462
66812,50.12961081597,14.49200749397
70357,50.05816560000,14.42501740000
65591,49.20005590330,16.63993871209
77095,50.42740385045,14.24833238046
60871,50.118,14.462
79067,50.224,14.348
79066,50.224,14.348
56894,50.078,13.704
56893,50.078,13.704
70219,49.76860130000,18.31600130000
70218,49.76860130000,18.31600130000
79305,49.33950880000,17.99406000000
78786,49.99,14.418
77805,49.68537325370,18.35730993751
77804,49.68537325370,18.35730993751
78785,49.99,14.418
62344,50.07055159858,14.43329125643
73106,50.476,15.588
62343,50.07055159858,14.43329125643
77003,50.06,14.288
77002,50.06,14.288
73107,50.476,15.588
65656,50.096,14.404
71658,49.59395140000,18.01889470000
71657,49.59395140000,18.01889470000
28714,49.17,14.572
80970,49.58985840000,17.27232290000
80969,49.58985840000,17.27232290000
70223,49.59460690000,17.22157810000
70222,49.59460690000,17.22157810000
69400,50.01253330000,14.67189370000
69399,50.01253330000,14.67189370000
79792,49.072,17.462
77235,50.526,14.974
77234,50.526,14.974
59831,50.108,13.712
59830,50.108,13.712
77386,49.68,18.538
77385,49.68,18.538
70162,49.44358665938,13.24583441019
70161,49.44358665938,13.24583441019
79514,49.59381535000,17.24701768748
78170,49.892,14.49
78169,49.892,14.49
77587,49.716,17.158
77586,49.716,17.158
55767,50.07763760000,14.44487250000
55804,50.07763760000,14.44487250000
55766,50.07763760000,14.44487250000
